primary_key,drink_name,arrival_time,prepTime
0_1,"Beer",829,25
0_2,"Draft Beer",957,50
0_3,"Cider",1108,25
1_1,"Pina Colada",1321,100
1_2,"Mojito",1542,75
1_3,"Tequila shot",1730,20
1_4,"Vodka shot",1754,20
2_1,"Vodka shot",2310,20
2_2,"Mojito",2334,75
3_1,"Draft Beer",2363,50
4_1,"Beer",2559,25
3_2,"Martini",2598,60
4_2,"Beer",2685,25
5_1,"White Wine",2711,25
3_3,"Beer",2776,25
4_3,"Mojito",2811,75
6_1,"Red Wine",2844,25
3_4,"Gin and Tonic",2902,40
5_2,"Draft Beer",2905,50
7_1,"Cider",2926,25
4_4,"White Wine",3005,25
6_2,"B52",3094,200
3_5,"Draft Beer",3110,50
5_3,"Pina Colada",3169,100
7_2,"Red Wine",3215,25
4_5,"Cider",3308,25
6_3,"Cider",3387,25
8_1,"Cider",3415,25
5_4,"B52",3696,200
9_1,"Margarita",3732,75
4_6,"Draft Beer",3771,50
7_3,"Cider",3775,25
6_4,"Cosmopolitan",3859,65
8_2,"White Wine",3903,25
5_5,"Tequila shot",4045,20
9_2,"Draft Beer",4245,50
4_7,"Draft Beer",4336,50
7_4,"White Wine",4381,25
6_5,"Cosmopolitan",4416,65
5_6,"Pina Colada",4449,100
8_3,"Cider",4560,25
9_3,"Vodka shot",4611,20
6_6,"White Wine",4759,25
9_4,"Mojito",4916,75
8_4,"Gin and Tonic",4975,40
6_7,"Vodka shot",5109,20
8_5,"Margarita",5238,75
8_6,"Margarita",5394,75
8_7,"Red Wine",5551,25
