ProcessID,RunID,PatronID,ArrivalTime,ExpectedBurstCount
FCFS_N10_CS0_Seed4_P0,FCFS_N10_CS0_Seed4,0,804,3
FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,1,1318,4
FCFS_N10_CS0_Seed4_P2,FCFS_N10_CS0_Seed4,2,2307,2
FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,3,2361,5
FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,4,2557,7
FCFS_N10_CS0_Seed4_P5,FCFS_N10_CS0_Seed4,5,2709,6
FCFS_N10_CS0_Seed4_P6,FCFS_N10_CS0_Seed4,6,2842,7
FCFS_N10_CS0_Seed4_P7,FCFS_N10_CS0_Seed4,7,2924,4
FCFS_N10_CS0_Seed4_P8,FCFS_N10_CS0_Seed4,8,3413,7
FCFS_N10_CS0_Seed4_P9,FCFS_N10_CS0_Seed4,9,3730,4
